Um Feriado nacional,DIA DAS MAES
Nele se acha um roedor,NINHO DE RATO
Tipo de bolo,FLORESTA NEGRA
Um desenho antigo,PANTERA COR DE ROSA
Tema de um Filme,VIVER OU MORRER
O que se diz em dezembro,FELIZ NATAL
Primeiro dia,SEGUNDA FEIRA
Dia do chop,SEXTA FEIRA
Tem na floresta,BORBOLETA
Voce usa todo dia,TECLADO
Sem ele não teria este jogo,COMPUTADOR
Uma cor,AMARELO
una cor,VERMELHO
uma cor,PRETO
Tem na rua,LOMBADA
Todo pais tem,HINO NACIONAL
Vive no campo,SERTANEJO
Atributo do que é difícil,DIFICULDADE
Tem na escola,LIVRO
Animal roedor,RATAZANA
um animal,JACARE
um animal,ELEFANTE
Um Pais,BRASIL
Um Pais,REINO UNIDO
uma moeda,CRUZEIRO
uma moeda,CRUZADO
se diz do dinheiro,MOEDA CORRENTE
É composto por duas lentes,OCULOS
um periferico,IMPRESSORA
um periferico,MOUSE
